Timestamp,Camelina01 - Daily Transpiration (g),Camelina02 - Daily Transpiration (g),Camelina03 - Daily Transpiration (g),Camelina04 - Daily Transpiration (g),Camelina05 - Daily Transpiration (g),Camelina06 - Daily Transpiration (g),Camelina07 - Daily Transpiration (g),Camelina08 - Daily Transpiration (g),Camelina09 - Daily Transpiration (g),Camelina10 - Daily Transpiration (g),Camelina11 - Daily Transpiration (g),Camelina12 - Daily Transpiration (g),Camelina13 - Daily Transpiration (g),Camelina14 - Daily Transpiration (g),Camelina15 - Daily Transpiration (g),Camelina16 - Daily Transpiration (g),Camelina17 - Daily Transpiration (g),Camelina18 - Daily Transpiration (g),Camelina19 - Daily Transpiration (g),Camelina20 - Daily Transpiration (g),Camelina21 - Daily Transpiration (g),Camelina22 - Daily Transpiration (g),Camelina23 - Daily Transpiration (g),Camelina24 - Daily Transpiration (g),Camelina25 - Daily Transpiration (g),Camelina26 - Daily Transpiration (g),Camelina27 - Daily Transpiration (g),Camelina28 - Daily Transpiration (g),Camelina29 - Daily Transpiration (g),Camelina30 - Daily Transpiration (g),Camelina31 - Daily Transpiration (g),Camelina32 - Daily Transpiration (g),Camelina33 - Daily Transpiration (g),Camelina34 - Daily Transpiration (g),Camelina35 - Daily Transpiration (g),Camelina36 - Daily Transpiration (g),Camelina37 - Daily Transpiration (g),Camelina38 - Daily Transpiration (g),Camelina39 - Daily Transpiration (g),Camelina40 - Daily Transpiration (g),Camelina41 - Daily Transpiration (g),Camelina42 - Daily Transpiration (g),Camelina43 - Daily Transpiration (g),Camelina44 - Daily Transpiration (g),Camelina45 - Daily Transpiration (g),Camelina46 - Daily Transpiration (g),Camelina47 - Daily Transpiration (g),Camelina48 - Daily Transpiration (g),Camelina49 - Daily Transpiration (g),Camelina50 - Daily Transpiration (g)
2025-04-10T00:00:00,98.75,82.97,90.54,93.46,106.55,99.71,84,82.02,93.4,87.76,98.57,134.54,110.59,109.85,97.39,128.44,91.93,123.79,100.45,101.27,100.89,90.71,103.48,112.01,108.26,89.38,84.02,110.16,93.18,93.25,92.59,94.22,91.19,95.48,131.61,142.53,97.29,116.66,116.69,139.07,118.52,111.61,90.74,109.46,105.3,98.02,94.84,97.52,110.03,89.38
2025-04-11T00:00:00,94.36,85.07,97.83,143.8,117.42,103.02,77.77,76.12,99.68,86.53,103.21,129.58,99.08,115.45,98.72,129.36,91.47,126.02,103,101.87,102.71,93.84,106.85,120.09,108.43,94.44,84.36,111.53,91.82,89.99,92.23,99.68,85.64,96.85,131.63,144.04,100.37,114.09,109.35,139.4,127.66,111.67,90.79,113.14,105.57,89.38,99.06,94.77,114.55,79.7
2025-04-12T00:00:00,99.56,87.69,92.76,6.63,107.95,110.03,82.69,75.75,93.74,80.81,101.42,133.89,100.2,110.12,100.14,126.75,92.25,122.39,103.68,97.64,94.55,89.09,111.88,116.51,99.03,89.18,83.4,100.76,88.91,91.37,89.5,92.1,81.4,93.91,135.87,141.27,99.1,113.9,111.47,131.32,126.09,107.04,94.31,108.21,100.35,93.81,93.04,90.85,109.94,86.95
2025-04-13T00:00:00,82.83,76.44,81.38,21.38,92.03,92.05,68.85,66.55,75.07,71.12,80.86,110.06,90.46,92.21,82.26,102.35,81.98,101.27,89.26,88.75,77.16,82.61,88.65,100.63,81.66,76.16,76.07,78.34,74.57,77.39,80.14,74.98,66.18,76.73,123.64,122.32,85.8,99.62,109.9,110.85,105.11,104.2,84.95,83.07,79.22,80.85,77.64,71.87,89.34,79.3
2025-04-14T00:00:00,97.55,87.36,94.06,89.91,107.7,109.17,88.48,75.81,91.81,82.41,99.32,129.67,100.7,109.91,98.65,127.87,98.82,120.07,108.09,99.56,98.3,88.8,106.94,117.62,100.54,87.87,87.29,95.75,86.08,89.66,90.65,92.03,78.42,92.19,144.06,142.73,99.66,128.05,119.33,133.76,124.28,112.19,102.29,109.52,99.33,102.9,90.88,88.7,110.05,86.45
2025-04-15T00:00:00,103.62,89.54,88.78,99.12,112.88,102.67,80.83,74.83,87.44,86,94.78,123.13,99.39,99.86,95.4,117.12,95.1,114.04,103.88,100.83,91,93.89,106.83,118.74,94.31,88.65,85.08,91.63,79.88,90.44,90.62,89.03,73.53,85.05,135.79,132.33,100.03,121.6,122.11,122.95,118.57,117.67,100.96,97.47,94.85,92.96,87.49,81.45,102.42,85.38
2025-04-16T00:00:00,92.4,82.08,88.24,86.65,107.11,95.84,76.91,69.55,82.54,79.8,88.14,116.52,95.16,188.52,88.26,116.84,97.42,113.75,100.34,95.81,90.05,84.86,100.33,115.49,90.75,88.94,84.45,89.09,79.59,83.1,82.49,81.29,72.22,84.32,134.25,133.03,92.28,124.27,115.42,117.79,113.3,112.11,101.1,95.97,91.65,85.05,81.14,77.9,99.91,81.46
2025-04-17T00:00:00,73.18,65.87,67.6,74.81,91.27,70.59,55.57,57.21,63.73,69.02,69.73,95.68,80.85,74.93,72.84,86.1,80.5,90.62,80.88,82.45,71.71,74.97,81.27,98.55,75.09,74.19,69.52,69.56,66.19,70.39,71,67.98,54.71,64.93,107.13,99.59,74.82,103.68,99.19,95.28,88.46,97.39,82.56,72.94,75.12,70.86,65.86,63.57,78.42,67.15
2025-04-18T00:00:00,104.01,93.44,99.82,86.4,120.29,108.88,87.16,75.49,86.39,87.21,104.32,129.85,101.9,111.33,100.96,131.99,113.15,121.49,117.4,104.62,102.28,95.58,109.98,127.98,94.02,97.27,96.98,97.96,83.37,90.86,94.33,88.94,78.68,90.22,146.46,141.21,99.54,133.04,123.31,124.53,131.01,118.31,122,110.27,104.39,102.82,87.28,82.94,119.39,88.22
2025-04-19T00:00:00,100.54,92.75,88.12,92.97,111.08,96.32,73.84,74.33,78.13,84.81,95.34,122.2,105.02,98.4,95.79,115.44,102.85,112.19,104.74,102.51,90.65,94.89,109.24,121.2,88.64,88.81,90.3,88.08,83.48,91.03,94.78,86.71,78.87,82.47,135.94,125.52,94.69,121.1,127.1,116.52,112.16,118.3,112.06,91.57,94.79,92.98,81.1,78.99,103,88.84
2025-04-20T00:00:00,121.34,114.4,112.96,106.01,139.09,126.17,103.8,86.81,97.21,98.83,123.55,148.86,111.04,129.56,119.07,145.26,126.24,137.82,135.56,120.03,112.77,108.93,132.32,148.76,106.76,110.1,114.7,109.89,96.77,104.86,108.07,101.88,86.01,103.61,162.79,157.16,113.49,156.84,140.29,141.19,147.41,137.04,149.22,123.89,121.83,113.78,100.27,97.12,131.42,101.57
2025-04-21T00:00:00,59.62,63.38,54.83,67.97,78.81,56,46.15,46.98,51.06,58.03,58.89,79.6,67.51,65.81,64.05,80.29,76.81,78.17,70.04,75.14,61.36,71.53,75.57,85.85,66.46,70.14,62.31,59.34,60.05,62.51,65.05,59.98,47.37,53.55,92.71,89.56,63.84,94.95,87.43,82.21,73.61,86.67,82.1,63.67,71.69,62.45,54.5,56.81,76.91,57.42
2025-04-22T00:00:00,114.98,113.96,110.39,108.67,132.59,115.72,95.14,79.87,88.49,93.26,109.76,134.89,112.19,117.87,110.54,135.54,127.65,125.3,130.5,110.94,105.34,113.63,121.93,139.67,101.93,108.65,110.51,101.93,88.8,96.17,103.33,94.47,78.06,97.71,159.44,143.68,101.72,157.95,143.67,129.7,134.22,133.64,144.36,113.45,123.33,116.95,92.63,88.81,130.53,106.11
2025-04-23T00:00:00,118.75,123.83,113.67,121.45,145.01,124.38,100.79,82.81,92.4,100.32,121.44,144.44,118.45,128.29,119.58,144.8,130.01,128.52,141.64,117.51,111.46,116.63,133.93,146.76,102.73,116.53,115.36,104.22,92.76,104.17,112.84,100.65,83.51,100.44,163.32,152.72,114.89,161.57,146.86,132.18,145.55,134.08,159.06,119.49,127.81,117.71,97.33,95.88,133.88,112.17
2025-04-24T00:00:00,118.92,129.68,109.22,125.49,144.14,118.43,93.89,85.82,90.76,101.24,114.15,144.34,114.94,123.89,122.22,135.12,128.7,131.05,133.8,117.59,106.47,120.03,135.27,140.01,104.2,110.64,112.39,103.25,96.47,103.68,115.61,101.09,81.6,99.56,157.56,145.37,114.63,158.85,146.87,132.19,136.51,135.51,150.52,112.89,132,116.79,97.4,98.65,129.23,114.2
2025-04-25T00:00:00,137.08,151.64,133.58,162.36,178.4,143.79,118.57,103.03,117.01,119.97,145.73,166.85,137.34,152.33,146.42,162.78,155.35,156.03,166.66,144.03,133.18,149.51,159.89,172.04,123.06,142.59,135.34,137.31,113.6,122.73,141.56,122.65,99.33,125.19,183.38,176.85,141.41,190.06,165.2,156.12,173.28,163.69,186.32,141.63,163.16,134,119.36,115.56,159.77,125.95
2025-04-26T00:00:00,131.71,156.47,129.45,161.31,176.07,138.59,114.35,96.59,112.94,123.77,143.18,159.88,133.53,147.18,142.77,159.28,153.49,154.37,163.84,146.7,131.69,146.92,157.88,167.49,119.12,142.45,132.96,131.55,113.72,120.93,140.63,119.55,97.19,119.59,178.94,173.6,139.74,194.3,160,150.05,171.8,161.49,188.89,136.96,160.7,131.23,116.54,110.63,155.44,125.56
2025-04-27T00:00:00,107.03,132.91,99.25,123.52,138.8,108.22,97.25,75.71,80.29,100.56,109.73,125.36,117.28,112.33,113.32,126.62,124.45,124.68,128.1,117.21,101.86,116.16,124.9,130.88,101.16,112.31,106.54,102.14,96.41,99.37,114.84,98.54,76.31,94.27,152.9,139.49,108.1,157.97,144.86,126.67,135.62,133.31,153.64,103.13,139.61,116.33,95.45,94.42,124.9,111.81
2025-04-28T00:00:00,130.11,154.84,123.76,149.17,169.67,126.16,110.54,95.14,101.79,120.15,130.51,158.94,137.27,134.75,140.8,152.54,154.23,148.51,155.35,139.53,121.8,141.08,157.18,157.39,115.65,129.38,132.36,121.58,110.89,118.57,143.53,115.68,92.74,115.5,186,166.17,134.63,192.13,173.86,146.9,164.99,162.53,188.97,127.19,162.85,137.13,114.51,112.96,152.76,139.47
2025-04-29T00:00:00,129.55,152.26,112.78,140.67,151.59,119.82,104.74,85.48,86.86,111.11,123.17,149.9,134.18,127.71,132.73,143.26,147.64,139.51,137.26,126.54,112.43,132.6,141.43,143.85,109.55,122.57,123.62,112.86,105.58,107.23,133.78,110.6,83.41,97.57,178.86,159.27,123.85,181.58,169.66,136.73,148,154.88,169.05,116.05,153.95,134.56,101.61,105.43,137.62,137.53
