Timestamp,Camelina01 - Weight (g),Camelina02 - Weight (g),Camelina03 - Weight (g),Camelina04 - Weight (g),Camelina05 - Weight (g),Camelina06 - Weight (g),Camelina07 - Weight (g),Camelina08 - Weight (g),Camelina09 - Weight (g),Camelina10 - Weight (g),Camelina11 - Weight (g),Camelina12 - Weight (g),Camelina13 - Weight (g),Camelina14 - Weight (g),Camelina15 - Weight (g),Camelina16 - Weight (g),Camelina17 - Weight (g),Camelina18 - Weight (g),Camelina19 - Weight (g),Camelina20 - Weight (g),Camelina21 - Weight (g),Camelina22 - Weight (g),Camelina23 - Weight (g),Camelina24 - Weight (g),Camelina25 - Weight (g),Camelina26 - Weight (g),Camelina27 - Weight (g),Camelina28 - Weight (g),Camelina29 - Weight (g),Camelina30 - Weight (g),Camelina31 - Weight (g),Camelina32 - Weight (g),Camelina33 - Weight (g),Camelina34 - Weight (g),Camelina35 - Weight (g),Camelina36 - Weight (g),Camelina37 - Weight (g),Camelina38 - Weight (g),Camelina39 - Weight (g),Camelina40 - Weight (g),Camelina41 - Weight (g),Camelina42 - Weight (g),Camelina43 - Weight (g),Camelina44 - Weight (g),Camelina45 - Weight (g),Camelina46 - Weight (g),Camelina47 - Weight (g),Camelina48 - Weight (g),Camelina49 - Weight (g),Camelina50 - Weight (g)
2025-04-10T00:00:00,6862.24,6970.28,6783.89,6776.3,7005.29,6937.21,7062.16,6945.17,6983.87,6788.84,7003.67,6703.39,6825.49,6850.71,6980.22,6967.93,6790.63,6923.59,6782.61,6756.91,6863.59,6759.18,6868.66,6810.11,6962.59,6821.78,6816.08,7014.78,7024.62,6871.34,6962.03,7116.68,7118.05,6959.31,6976.22,6717.66,6967.16,6961.73,6858.37,7034.31,6957.54,6913.81,6665.19,6954.04,6667.99,6860.15,7052.61,6883.78,6965.28,6997.1
2025-04-10T00:03:00,6863.79,6970.21,6784.48,6776.59,7004.87,6937.18,7062.24,6946.21,6983.98,6789.3,7002.97,6702.5,6825.51,6851.57,6979.86,6967.13,6790.56,6922.55,6782.1,6757.12,6864.82,6757.07,6868.93,6810.19,6962.28,6824.98,6815.08,7015.18,7023.34,6870.55,6961.03,7117.61,7118.07,6959.69,6976.52,6718.46,6967.18,6962.5,6859.03,7035.18,6957.78,6913.69,6666.19,6955.91,6668.18,6859.66,7051.25,6883.61,6964.66,6996.85
2025-04-10T00:06:00,6864.77,6969.6,6784.42,6776.36,7003.23,6937.44,7062.2,6943.3,6984.03,6788.39,7003.4,6703.55,6822.32,6850.42,6980.45,6967.78,6790.11,6923.64,6781.11,6756.46,6863.29,6757.43,6868.85,6809.4,6962.24,6821.81,6814.91,7014.6,7024.81,6871.93,6961.85,7116.48,7118.06,6959.09,6976.46,6717.64,6967.33,6962.79,6859.95,7033.38,6957.53,6913.94,6662.94,6958.6,6668.49,6859.83,7051.93,6881.99,6964.34,6996.95
2025-04-10T00:09:00,6863.69,6969.66,6784.77,6775.88,7005.81,6937.5,7062.62,6942.66,6983.41,6789.32,7002.83,6703.66,6824.27,6850.93,6979.74,6967.98,6789.91,6922.75,6782.05,6756.28,6864.07,6756.81,6868.72,6810.06,6962.63,6819.76,6816.8,7015.22,7027.55,6870.72,6961.43,7115.94,7118.99,6959.11,6976.53,6717.93,6967.22,6962.34,6860.48,7033.73,6958.37,6912.12,6668.09,6959.14,6669.11,6859.82,7050.94,6882.49,6962.86,6996.92
2025-04-10T00:12:00,6864.37,6969.66,6785.44,6776.87,7005.91,6937.91,7063.27,6942.29,6983.81,6789.72,7002.96,6703.69,6822.71,6851.18,6979.47,6967.35,6789.1,6923.14,6781.66,6757.39,6863.21,6756.74,6871.66,6809.34,6963.65,6819.51,6817.23,7013.99,7027.62,6870.99,6960.59,7116.39,7118.53,6958.42,6976.95,6717.74,6967.29,6961.94,6859.89,7033.07,6957.97,6911.55,6666.98,6959.53,6668.33,6858.71,7052.12,6881.63,6964.23,6996.57
2025-04-10T00:15:00,6864.19,6970.38,6784.55,6777.3,7005.57,6937.72,7061.82,6943.11,6983.45,6789.68,7002.79,6702.77,6827.87,6850.43,6979.79,6967.76,6788.71,6922.52,6780.59,6755.97,6863.45,6755.58,6870.7,6809.52,6962.19,6820.02,6815.48,7013.63,7026.63,6870.25,6961.1,7116.01,7117.76,6958.13,6976.27,6718.18,6967.59,6962.01,6859.31,7032.73,6956.53,6911.9,6664.47,6960.65,6668.66,6859.71,7051.96,6883.47,6963.5,6997.93
2025-04-10T00:18:00,6863.98,6969.62,6786.19,6775.9,7006.78,6937.18,7062.04,6941.76,6983.15,6789.48,7003.19,6702.91,6828.31,6851.17,6978.83,6967.27,6788.63,6922.07,6782.2,6757.32,6863.07,6755.37,6870.08,6809.32,6963.38,6820.53,6817.42,7013.65,7026.16,6870.35,6962.29,7116.34,7119.61,6958.74,6976.67,6715.91,6966.28,6960.88,6862.61,7032.61,6957.4,6911.92,6669.7,6955.7,6668.39,6859.4,7049.93,6882.64,6963.28,6996.96
2025-04-10T00:21:00,6864.23,6969.88,6784.88,6776.4,7004.66,6937.79,7061.87,6942.75,6983.18,6789,7001.41,6701.48,6826.83,6850.59,6978.86,6966.55,6787.73,6922.56,6781.18,6755.85,6863.19,6756.09,6870.49,6808.66,6962.23,6820.92,6816.64,7014.83,7026.92,6870.69,6960.21,7116.31,7118.28,6958.92,6976.67,6717.59,6966.17,6961.81,6861.22,7032.93,6957.71,6910.6,6665.33,6960.77,6668.87,6858.49,7051.56,6881.91,6962.94,6997.05
2025-04-10T00:24:00,6863.61,6969.27,6784.81,6776.26,7005,6937.72,7061.79,6942.81,6983.44,6788.71,7001.74,6702.67,6827.96,6850.72,6978.55,6967.06,6787.88,6922.63,6781.69,6756.36,6863.21,6755.03,6869.84,6808.56,6962.42,6822.16,6817.09,7013.6,7026.35,6870.55,6960.8,7115.87,7121.28,6959.25,6976.82,6715.14,6966.09,6961.7,6860.28,7032.64,6956.57,6912.06,6666.9,6955.33,6668.86,6858.24,7051.41,6882.09,6962.76,6997.05
2025-04-10T00:27:00,6863.94,6969.92,6784.88,6775.45,7004.15,6937.71,7061.16,6941.57,6982.16,6788.1,7001.44,6700.37,6827.28,6850.2,6978.9,6966.53,6787.76,6922.51,6781.52,6756.3,6861.96,6753.99,6869.3,6808.88,6961.84,6821.16,6816.03,7013.47,7026.72,6870.09,6961.4,7117.58,7118.75,6958.57,6977.12,6716.56,6965.72,6959.97,6858.6,7031.75,6955.43,6911.58,6665.69,6957.68,6668.2,6858.13,7050.35,6882.74,6962.47,6996.74
