Timestamp,Camelina01 - Daily Transpiration (g),Camelina02 - Daily Transpiration (g),Camelina03 - Daily Transpiration (g),Camelina05 - Daily Transpiration (g),Camelina06 - Daily Transpiration (g),Camelina07 - Daily Transpiration (g),Camelina08 - Daily Transpiration (g),Camelina09 - Daily Transpiration (g),Camelina10 - Daily Transpiration (g),Camelina11 - Daily Transpiration (g),Camelina12 - Daily Transpiration (g),Camelina13 - Daily Transpiration (g),Camelina14 - Daily Transpiration (g),Camelina15 - Daily Transpiration (g),Camelina16 - Daily Transpiration (g),Camelina18 - Daily Transpiration (g),Camelina19 - Daily Transpiration (g),Camelina20 - Daily Transpiration (g),Camelina21 - Daily Transpiration (g),Camelina22 - Daily Transpiration (g),Camelina23 - Daily Transpiration (g),Camelina24 - Daily Transpiration (g),Camelina25 - Daily Transpiration (g),Camelina26 - Daily Transpiration (g),Camelina27 - Daily Transpiration (g),Camelina28 - Daily Transpiration (g),Camelina29 - Daily Transpiration (g),Camelina30 - Daily Transpiration (g),Camelina31 - Daily Transpiration (g),Camelina32 - Daily Transpiration (g),Camelina33 - Daily Transpiration (g),Camelina34 - Daily Transpiration (g),Camelina35 - Daily Transpiration (g),Camelina36 - Daily Transpiration (g),Camelina37 - Daily Transpiration (g),Camelina38 - Daily Transpiration (g),Camelina39 - Daily Transpiration (g),Camelina40 - Daily Transpiration (g),Camelina41 - Daily Transpiration (g),Camelina42 - Daily Transpiration (g),Camelina43 - Daily Transpiration (g),Camelina44 - Daily Transpiration (g),Camelina45 - Daily Transpiration (g),Camelina46 - Daily Transpiration (g),Camelina47 - Daily Transpiration (g),Camelina48 - Daily Transpiration (g),Camelina49 - Daily Transpiration (g),Camelina50 - Daily Transpiration (g)
2025-08-29T00:00:00,45.68,53.78,44.1,57.13,58.22,54.78,57.47,59.28,52.98,40.34,58.06,54.19,63.53,57.23,60.74,64.56,78.04,38.43,54.62,65.1,53.53,44.9,60.56,49.41,48.62,48.03,61.47,55.87,64.93,50.88,55.73,51.89,41.55,37.46,53.1,61.16,54.15,32.64,63.32,52.81,62.1,56.53,67.19,51.1,59.88,48.35,46.84,58.25
2025-08-30T00:00:00,44.98,51.77,41.05,53.31,55.83,55.63,57.28,63.12,52.42,39.68,56.45,53.83,65.17,55.59,59.57,66.2,76.06,38.31,54.33,64.91,53.73,43.69,60.01,47.03,46.83,50.98,58.9,52.88,61.43,56.97,58.29,49.68,37.51,35.41,51.65,53.4,53.83,46.11,64.42,50.45,68.08,58.33,66.93,46.88,57.56,49.21,44.72,51.86
2025-08-31T00:00:00,47.88,53.66,45.31,53.87,56.26,57.3,60.82,66.8,52.42,40.55,59.11,56.58,68.18,59.71,59.38,67.39,79.15,39.62,57.5,67.28,55.44,47,62.66,49.14,47.59,53.39,61.4,51.84,61.72,52.21,60.08,49.85,37.75,38.8,52.04,57.36,52.43,47.61,65.86,51.98,69.2,58.96,66.02,49.38,58.03,48.33,47.11,57.86
2025-09-01T00:00:00,29.77,33.09,26.98,35.92,35.5,36.46,39.37,43.5,33.52,28.16,37.18,37.66,41.85,41.24,37.71,41.79,52.74,23.65,37.61,41.78,37.35,30.64,38.64,30.51,31.13,32.3,39.27,34.64,40.91,33.32,39,33.5,29.02,30.11,32.88,44.06,35.65,32.55,43.6,33.96,39.03,36.54,44.59,33.61,34.93,28.86,29.52,35.91
2025-09-02T00:00:00,40.05,48.19,40.11,47.32,48.7,48.5,52.07,57.91,47.06,47.17,50.5,50.06,60.23,66.2,55.01,58.02,67.15,40.51,46.71,57.87,43.15,48.61,44.93,43.38,51.66,37.74,54.66,43.5,66.25,37.34,53.79,45.69,36.92,42.7,51.7,66.2,45.19,52.71,56,49.99,61.63,48.63,60.59,43.33,51.56,44.05,53.39,52.68
2025-09-03T00:00:00,46.64,57.18,52.14,57.63,64.46,55.87,58.19,69.33,55.41,56.1,59.87,59.87,67.33,79.09,60,76.5,73.9,50.72,54.46,66.29,50.19,58.93,58.28,50.48,66.61,48.58,65.11,51.45,73.51,51.97,61.46,54.69,39.03,49.19,59.67,65.74,56.14,59.53,65.47,58.38,81.85,57.41,71.26,48.97,67.8,57.68,58.78,54.81
2025-09-04T00:00:00,49.87,53.69,46.38,53.15,57.7,57.3,57.29,67.29,54.4,51.16,61.68,55.46,64.64,71.77,60.59,67.17,74.73,42.8,56.27,64.04,51.11,53.84,53.5,52.9,56.71,44.16,61.29,51.76,71.85,47.49,55.63,55.15,43.95,45.18,52.34,59.98,53.08,57.21,61.84,57.79,67.05,55.2,68.73,50.91,57.63,50.36,53.41,52.75
2025-09-05T00:00:00,52.65,60.1,53.8,59.31,66.19,61.19,60.51,72.67,62.04,58.74,63.1,64.21,70.51,79.85,64.55,74.58,73.93,54.17,56.92,68.85,56.15,61.65,58.94,57.68,67.58,51.31,69.56,55.89,76.7,53.64,66.94,58.89,46.11,46.32,58.36,65.58,56.74,79.22,67.81,65.42,81.55,63.96,75.16,53.15,68.39,57.06,59.48,3.06
2025-09-06T00:00:00,56.57,64.05,60.3,67.69,73.04,63.01,64.75,78.36,64.65,62.85,64.06,70.02,75.9,83.26,61.15,81.43,76.58,58.05,58.38,74.89,58.14,66.92,64.2,61.7,74.52,58.02,70.9,56.73,80.66,57.17,67.39,60.23,42.02,54.22,63.14,67.38,54.06,57.07,71.57,68.77,89.49,67.84,77.29,54.65,75.88,64.15,62.4,55.65
2025-09-07T00:00:00,57.4,64.73,57.42,66.36,71.9,64.41,64.62,86.4,64.61,58.68,68.93,72.2,74.72,79.95,61.63,81.69,83.97,56.29,59.66,75.94,61.83,63.22,67.35,63.08,69.85,60.94,73.12,58.99,77.38,61.76,68.03,61.31,47.76,55.7,63.83,69.91,55.57,59.22,74.16,68.25,90.86,74.19,77.33,59.39,75.84,64.76,64.96,62.58
