Timestamp,Camelina01 - Weight (g),Camelina02 - Weight (g),Camelina03 - Weight (g),Camelina05 - Weight (g),Camelina06 - Weight (g),Camelina07 - Weight (g),Camelina08 - Weight (g),Camelina09 - Weight (g),Camelina10 - Weight (g),Camelina11 - Weight (g),Camelina12 - Weight (g),Camelina13 - Weight (g),Camelina14 - Weight (g),Camelina15 - Weight (g),Camelina16 - Weight (g),Camelina18 - Weight (g),Camelina19 - Weight (g),Camelina20 - Weight (g),Camelina21 - Weight (g),Camelina22 - Weight (g),Camelina23 - Weight (g),Camelina24 - Weight (g),Camelina25 - Weight (g),Camelina26 - Weight (g),Camelina27 - Weight (g),Camelina28 - Weight (g),Camelina29 - Weight (g),Camelina30 - Weight (g),Camelina31 - Weight (g),Camelina32 - Weight (g),Camelina33 - Weight (g),Camelina34 - Weight (g),Camelina35 - Weight (g),Camelina36 - Weight (g),Camelina37 - Weight (g),Camelina38 - Weight (g),Camelina39 - Weight (g),Camelina40 - Weight (g),Camelina41 - Weight (g),Camelina42 - Weight (g),Camelina43 - Weight (g),Camelina44 - Weight (g),Camelina45 - Weight (g),Camelina46 - Weight (g),Camelina47 - Weight (g),Camelina48 - Weight (g),Camelina49 - Weight (g),Camelina50 - Weight (g)
2025-08-29T00:00:00,6925.58,6904.86,6922.66,6881.08,6963.67,6730.56,6906.31,6785.92,6963.33,6617.78,6993.22,6599.06,7001.69,6777.25,6975.41,6993.03,6978.59,6563.47,6770.14,6995.6,6773.6,6653.43,6699.91,6824.25,6837.72,6595.68,6983.43,6964.66,6927.1,6572.31,6818.94,6775.99,6807.47,6648.24,6984.77,6940.41,6992.18,6978.64,7040.69,6869.54,6775.05,6969.65,7018.7,6772.38,7058.04,6760.67,6555.85,6736.9
2025-08-29T00:03:00,6925.34,6905.59,6922.88,6881.05,6964.18,6730.08,6906.65,6786.48,6963.37,6616.71,6993.6,6601.95,6998.31,6775.18,6979.67,6992.76,6977.35,6565.39,6769.08,6994.61,6773.99,6651.85,6698.88,6824.89,6837.99,6595.82,6983.72,6964.01,6928,6574.33,6818.11,6775.45,6808.3,6648.05,6983.68,6941.16,6992.57,6978.62,7040.57,6866.11,6773.54,6967.1,7017.79,6773.95,7057.26,6761.41,6555.83,6737.19
2025-08-29T00:06:00,6926.01,6905.11,6922.45,6880.44,6963.37,6730.91,6907.61,6783.24,6963.6,6616.97,6992.25,6599.85,6997.65,6774.94,6976.83,6992.84,6978.82,6563.81,6769.41,6994.59,6773.74,6652.41,6698.86,6823.43,6839.12,6594.5,6983.58,6963.16,6927.56,6573.31,6817.79,6774.82,6807.76,6649.63,6983.4,6941.42,6992.72,6978.16,7041.4,6867.07,6773.87,6970.26,7017.13,6774.22,7057.16,6761.62,6555.4,6737.79
2025-08-29T00:09:00,6926.82,6904.68,6922.15,6878.01,6964.13,6728.65,6907.27,6781.93,6963.25,6617.26,6992.66,6598.17,6997.02,6774.12,6977.52,6992.76,6978.2,6564.52,6769.18,6994.26,6773.74,6649.57,6698.2,6823.53,6837.94,6596.71,6982.95,6963.11,6923.74,6573.1,6817.87,6774.25,6806.87,6649.52,6983.63,6939.74,6993.16,6979.2,7039.1,6866.11,6774.84,6973.73,7016.45,6773.41,7056.28,6761,6555.03,6737.43
2025-08-29T00:12:00,6925.25,6904.15,6922.78,6880.29,6963.43,6729.59,6905.99,6784.29,6962.33,6616.95,6994.28,6597.23,6999.89,6774.01,6972,6992.22,6976.77,6564.62,6769.24,6994.79,6774.4,6650.85,6700.22,6823.15,6837.74,6595.72,6983.15,6963.14,6922.42,6571.95,6817.51,6775.4,6806.88,6649.23,6982.2,6940.27,6991.55,6978.58,7039.87,6869.42,6773.24,6971.01,7017.11,6772.83,7057.6,6760.27,6555.66,6736.84
2025-08-29T00:15:00,6925.06,6904.06,6921.37,6879.24,6963.53,6728.69,6906.88,6783.05,6960.64,6617.18,6992.31,6598.89,6998.25,6774,6977.62,6991.54,6977.65,6563.89,6768.86,6993.85,6774.02,6649.8,6697.48,6823.72,6835.84,6596,6982.69,6963.13,6922.08,6571.34,6817.15,6775.07,6805.96,6648.94,6982.92,6939.5,6992.03,6978.51,7039.6,6868,6771.11,6970.99,7016.37,6771.02,7059.3,6760.78,6555.16,6737.23
2025-08-29T00:18:00,6923.97,6904.39,6921.36,6879.84,6962.98,6728.72,6905.38,6783.3,6960.14,6616.42,6992.73,6597.76,6998.75,6773.82,6975.15,6992,6976.38,6560.56,6768.41,6993.7,6773.94,6649.78,6703.38,6824.02,6837.08,6595.34,6981.98,6963.4,6921.8,6570.06,6817.66,6774.81,6807.38,6649.12,6983.4,6938.48,6990.75,6978.23,7040.39,6866.49,6770.88,6971.61,7015.82,6771.47,7057.64,6760.4,6554.54,6737.4
2025-08-29T00:21:00,6925.21,6904.34,6921.97,6880.13,6963.97,6729.46,6905.38,6782.67,6960.55,6616.87,6992.35,6598.14,6997.63,6771.97,6980.96,6991.81,6977.18,6560.06,6767.71,6994.61,6773.3,6650.46,6702.47,6823.13,6836.7,6596.71,6982.01,6963.52,6922.59,6572.62,6817.28,6774.44,6805.91,6648.73,6982.23,6938.42,6990.41,6978.09,7039.15,6864.17,6770.72,6970.26,7016.21,6771.32,7056.91,6760.94,6554.18,6737.59
2025-08-29T00:24:00,6924.23,6903.85,6921.18,6875.86,6964.54,6728.86,6904.81,6781.15,6961.28,6617.31,6990.31,6596.93,6996.19,6771.83,6981.26,6991.14,6976.34,6559.38,6769.42,6994.83,6772.24,6648.74,6702.06,6823.21,6835.95,6595.45,6982.68,6962.93,6922.1,6569.92,6817.22,6774.15,6806.3,6648.32,6982.15,6943.39,6992,6978.12,7038.56,6867.28,6769.56,6972.52,7015.57,6772.75,7055.4,6760.88,6554.31,6738.45
2025-08-29T00:27:00,6925.59,6904.34,6922.15,6878.29,6962.83,6728.31,6905.35,6782.22,6961.18,6616.84,6991.86,6598.24,6996.3,6772.56,6975.16,6991.5,6977.44,6560.59,6768.36,6993.88,6773.83,6649.81,6701.51,6823.14,6835.79,6594.45,6982.21,6963.01,6922.33,6572.65,6817.47,6773.76,6806.1,6647.56,6982.03,6942.89,6991.66,6977.86,7038.91,6864.14,6770.34,6970.69,7014.44,6771.84,7055.65,6760.23,6554.08,6738
